"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
   Andorra,3740,4142,5575,5727,7909,8740,11132,1737,1939,2647,2741,3848,4200,5302,2003,2203,2928,2986,4061,4540,5830
   Bosnia and Herzegovina,861760,1372526,1496691,1501036,1572925,1593430,1687639,427367,668720,732010,726700,760012,763150,820732,434393,703806,764681,774336,812913,830280,866907
   Croatia,425544,735213,907031,839084,820407,806242,1039526,214109,362947,435683,399202,383471,375750,495533,211435,372266,471348,439882,436936,430492,543993
   Gibraltar*,11989,10130,8451,9643,10197,11916,13389,5670,4889,4174,4743,5130,5766,6434,6319,5241,4277,4900,5067,6150,6955
   Greece,1022125,1004201,982685,867619,789457,820119,1088507,533413,520579,506166,450195,408319,421173,567041,488712,483622,476519,417424,381138,398946,521466
   Holy See*,10,26,41,110,175,310,174,5,17,28,54,76,115,71,5,9,13,56,99,195,103
   Italy,3350982,3207728,3067498,2698486,2559233,2662661,3258831,1739388,1663871,1590861,1413246,1330202,1400582,1757002,1611594,1543857,1476637,1285240,1229031,1262079,1501829
   Malta,110738,109839,104869,100245,99294,93554,102793,56490,55524,52311,49819,49396,47197,51684,54248,54315,52558,50426,49898,46357,51109
   Montenegro,77384,144640,183451,148013,148754,134028,132965,38819,70517,85403,70332,67741,61328,61547,38565,74123,98048,77681,81013,72700,71418
   North Macedonia,432070,491992,532132,458822,526151,563354,693896,216997,245834,266937,229907,259242,291278,357739,215073,246158,265195,228915,266909,272076,336157
   Portugal,1871869,1920865,1993793,1743009,1927397,1971655,2081419,964178,986469,1021724,899359,987376,1010281,1074098,907691,934396,972069,843650,940021,961374,1007321
   San Marino,1413,2456,3494,2907,2266,3688,2407,568,1132,1693,1298,864,1269,986,845,1324,1801,1609,1402,2419,1421
   Serbia*,742547,914112,1131919,960621,936001,826891,1003962,393867,480918,592896,491207,463834,406341,497564,348680,433194,539023,469414,472167,420550,506398
   Slovenia,91447,108611,118659,119399,122948,136538,160197,39956,47496,52205,52802,54436,61173,73387,51491,61115,66454,66597,68512,75365,86810
   Spain*,1439004,1362409,1290614,1114465,1087071,1269283,1489823,683805,635414,588443,510383,489857,578769,697833,755199,726995,702171,604082,597214,690514,791990
  Western Europe,6100528,6375212,6833240,7466886,8226254,8394738,9177420,2825202,2985079,3230342,3563541,3874004,3970660,4350599,3275326,3390133,3602898,3903345,4352250,4424078,4826821
   Austria,505214,490045,478091,493349,517401,515234,600740,234319,227962,222934,227488,231771,233867,281323,270895,262083,255157,265861,285630,281367,319417
   Belgium,363970,374734,398864,437701,484032,515793,577463,156482,161376,172734,202650,218052,243956,276754,207488,213358,226130,235051,265980,271837,300709
   France*,1215837,1353297,1555391,1725216,1956818,2119266,2341908,572481,645393,748629,833193,943288,1023721,1139109,643356,707904,806762,892023,1013530,1095545,1202799
   Germany,2929448,3045354,3235247,3442933,3696638,3630278,3855268,1341083,1413344,1520496,1629631,1719667,1689326,1784487,1588365,1632010,1714751,1813302,1976971,1940952,2070781
   Liechtenstein,3425,3018,2688,2935,3590,3536,3706,1446,1304,1202,1307,1566,1565,1655,1979,1714,1486,1628,2024,1971,2051
   Luxembourg,36108,37875,39762,52806,62048,69366,81757,18542,19240,19991,26314,28889,32722,40460,17566,18635,19771,26492,33159,36644,41297
   Monaco,4475,4784,5124,19103,26954,29317,32552,2255,2388,2530,9580,13094,13915,15473,2220,2396,2594,9523,13860,15402,17079
   Netherlands*,716471,726856,747631,790554,854388,867093,970403,353394,361252,372460,397891,427577,435630,484739,363077,365604,375171,392663,426811,431463,485664
   Switzerland,325580,339249,370442,502289,624385,644855,713623,145200,152820,169366,235487,290100,295958,326599,180380,186429,201076,266802,334285,348897,387024
 LATIN AMERICA AND THE CARIBBEAN,15273399,19669704,24628700,29338206,34637650,36206000,42890481,7544689,9726163,12182539,14495367,16857618,17582139,20697275,7728710,9943541,12446161,14842839,17780032,18623861,22193206
  Caribbean,4139775,5035853,5966487,6506671,7273502,8135307,9078772,1973524,2347284,2729146,2979365,3274934,3802917,4252967,2166251,2688569,3237341,3527306,3998568,4332390,4825805
   Anguilla*,1832,2166,2508,2425,2273,2553,2505,953,1116,1276,1220,1159,1350,1293,879,1050,1232,1205,1114,1203,1212
   Antigua and Barbuda,21382,26965,32782,36398,41347,52189,66561,9656,12194,14856,16580,18668,23792,29948,11726,14771,17926,19818,22679,28397,36613
   Aruba*,5887,6705,7662,9482,13524,16621,21456,2606,2966,3395,4230,5880,7257,9326,3281,3739,4267,5252,7644,9364,12130
   Bahamas,25137,29594,34301,34715,35990,42965,53793,10606,12598,14737,15043,15388,18115,22329,14531,16996,19564,19672,20602,24850,31464
   Barbados,84766,89612,94998,92975,96193,101879,99611,40100,42423,44992,43951,45018,47152,45906,44666,47189,50006,49024,51175,54727,53705
"   Bonaire, Sint Eustatius and Saba*",445,540,647,753,7065,7295,8148,226,274,326,378,3150,3247,3657,219,266,321,375,3915,4048,4491
   British Virgin Islands*,3094,3368,3683,4008,4921,5118,5355,1340,1462,1603,1776,2173,2245,2343,1754,1906,2080,2232,2748,2873,3012
   Cayman Islands*,356,794,1278,1290,1404,1709,1908,187,363,559,590,658,796,863,169,431,719,700,746,913,1045
   Cuba,835175,934168,1047789,1160309,1314739,1505827,1757300,399033,445646,499590,553465,618056,702390,822706,436142,488522,548199,606844,696683,803437,934594
   Curaçao*,2104,2849,3779,4618,45248,6239,7611,1025,1410,1885,2327,20929,3141,3800,1079,1439,1894,2291,24319,3098,3811
   Dominica,40563,44210,48275,64037,73583,72585,78191,18576,20399,22384,28772,31285,30442,32456,21987,23811,25891,35265,42298,42143,45735
   Dominican Republic,458021,667015,889451,1014070,1184417,1454602,1608567,196168,283859,376036,430576,496745,608480,664406,261853,383156,513415,583494,687672,846122,944161
   Grenada,43237,54075,63791,64646,63930,69055,62204,19599,24526,28883,28858,27905,30025,27572,23638,29549,34908,35788,36025,39030,34632
   Guadeloupe*,5765,6748,7750,8911,10779,11993,12542,2558,2893,3235,3662,4393,4674,4953,3207,3855,4515,5249,6386,7319,7589
   Haiti,524711,661354,802218,967894,1123190,1467042,1769671,292687,361848,433429,515654,587744,793349,964896,232024,299506,368789,452240,535446,673693,804775
   Jamaica,588450,718362,857865,905170,989790,1031596,1118931,267945,324401,385488,402827,427047,440347,475022,320505,393961,472377,502343,562743,591249,643909
   Martinique*,11036,12501,14019,14340,14637,12675,12963,5607,6043,6498,6637,6756,5516,5623,5429,6458,7521,7703,7881,7159,7340
   Montserrat*,7178,11586,16132,15810,17378,20136,24582,3363,5193,7083,7090,7844,8863,10680,3815,6393,9049,8720,9534,11273,13902
   Puerto Rico*,1200245,1405619,1600058,1640015,1731818,1715817,1850529,574579,637593,688171,710802,737672,841611,905682,625666,768026,911887,929213,994146,874206,944847
   Saint Barthélemy*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Saint Kitts and Nevis,18618,24662,30867,33317,35795,40211,50285,8702,11466,14309,15279,16120,18114,22359,9916,13196,16558,18038,19675,22097,27926
   Saint Lucia,21999,30672,39556,46897,50318,57939,71227,10050,13822,17671,20493,21372,24201,29632,11949,16850,21885,26404,28946,33738,41595
   Saint Martin (French part)*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Saint Vincent and the Grenadines,37010,45669,53543,55611,55435,62292,55525,17889,22245,26215,26629,25950,29062,25768,19121,23424,27328,28982,29485,33230,29757
   Sint Maarten (Dutch part)*,707,914,1186,1246,3303,1929,2191,344,446,591,623,1563,932,1065,363,468,595,623,1740,997,1126
   Trinidad and Tobago,197440,251142,307795,322906,350517,368633,330519,87571,109768,133408,139303,148434,154574,137377,109869,141374,174387,183603,202083,214059,193142
   Turks and Caicos Islands*,2308,1533,740,1190,2197,2454,2689,1004,679,345,525,949,1036,1136,1304,854,395,665,1248,1418,1553
   United States Virgin Islands*,2309,3030,3814,3638,3711,3953,3908,1150,1651,2181,2075,2076,2206,2169,1159,1379,1633,1563,1635,1747,1739
  Central America,6823036,9288464,12228703,13978650,16204451,16291222,16198974,3539221,4886482,6477478,7424343,8489498,8439482,8312535,3283815,4401982,5751225,6554307,7714953,7851740,7886439
   Belize,36101,41950,48211,51883,57371,63099,52756,15084,17640,20421,22256,24357,26615,22097,21017,24310,27790,29627,33014,36484,30659
   Costa Rica,69283,84980,105227,117618,132317,138237,150241,29052,35626,44546,50583,56633,59116,64129,40231,49354,60681,67035,75684,79121,86112
   El Salvador,1241849,933103,949042,1118793,1337085,1512895,1599058,608473,463004,480184,568376,670201,753461,794168,633376,470099,468858,550417,666884,759434,804890
   Guatemala,348189,461891,582796,736715,924898,1118115,1368431,175814,234806,297854,375251,463621,557854,676642,172375,227085,284942,361464,461277,560261,691789
   Honduras,156379,246575,342103,448882,587503,729855,985077,66801,106313,148387,195742,249972,305667,401073,89578,140262,193716,253140,337531,424188,584004
   Mexico,4395355,6949276,9562878,10817810,12415222,11923234,11185737,2358111,3746874,5172990,5877135,6668397,6358119,5947873,2037244,3202402,4389888,4940675,5746825,5565115,5237864
   Nicaragua,441488,437711,501517,555532,610211,655577,718154,219504,216401,245092,269682,287563,305105,338488,221984,221310,256425,285850,322648,350472,379666
   Panama,134392,132978,136929,131417,139844,150210,139520,66382,65818,68004,65318,68754,73545,68065,68010,67160,68925,66099,71090,76665,71455
  South America,4310588,5345387,6433510,8852885,11159697,11779471,17612735,2031944,2492397,2975915,4091659,5093186,5339740,8131773,2278644,2852990,3457595,4761226,6066511,6439731,9480962
   Argentina,430155,481968,555542,805291,938639,943843,1076148,203580,230267,268387,397540,463178,462826,525891,226575,251701,287155,407751,475461,481017,550257
   Bolivia (Plurinational State of),224693,283540,344702,543766,779961,824008,927244,115446,144466,174719,265889,368682,390857,435335,109247,139074,169983,277877,411279,433151,491909
   Brazil,491359,730491,940458,1194575,1495404,1504231,1897128,221394,323017,406768,511722,632242,637038,801922,269965,407474,533690,682853,863162,867193,1095206
   Chile,493026,499207,511997,541745,571842,618015,643800,248431,245982,246871,260036,271267,291195,306204,244595,253225,265126,281709,300575,326820,337596
   Colombia,1009148,1215967,1433940,1883904,2554020,2698688,3024273,458639,556126,658250,859318,1177853,1234218,1376442,550509,659841,775690,1024586,1376167,1464470,1647831
   Ecuador,214008,326230,446380,986599,1152897,1130774,1127891,105646,159665,217734,478800,556323,538153,531506,108362,166565,228646,507799,596574,592621,596385
   Falkland Islands (Malvinas)*,255,760,1262,1095,1174,1370,1518,139,336,528,467,515,578,636,116,424,734,628,659,792,882
   French Guiana*,2840,3221,3640,3800,3940,4517,4595,1250,1390,1548,1612,1666,1847,1904,1590,1831,2092,2188,2274,2670,2691
   Guyana,233318,295292,362157,392555,439233,481258,438413,110591,139840,171419,185054,204145,222385,201232,122727,155452,190738,207501,235088,258873,237181
   Paraguay,297742,335845,374675,545698,765811,845591,896484,131474,147026,162710,238432,329005,363105,384808,166268,188819,211965,307266,436806,482486,511676
   Peru,313209,505474,694144,969002,1299095,1410199,1519635,149436,231433,311609,437143,563929,605953,665107,163773,274041,382535,531859,735166,804246,854528
   Suriname,177857,191535,211219,248782,258715,254612,273209,86610,91317,98738,115287,116117,112784,120783,91247,100218,112481,133495,142598,141828,152426
   Uruguay,237486,233993,235641,298986,338438,353225,367060,116499,114568,115418,146441,161309,167247,174801,120987,119425,120223,152545,177129,185978,192259
   Venezuela (Bolivarian Republic of),185492,241864,317753,437087,560528,709140,5415337,82809,106964,141216,193918,246955,311554,2605202,102683,134900,176537,243169,313573,397586,2810135
 NORTHERN AMERICA,2802135,2946161,3149919,3512106,3969803,4014649,4327958,1265636,1332584,1428451,1621606,1828799,1860379,2021487,1536499,1613577,1721468,1890500,2141004,2154270,2306471
   Bermuda*,71681,42587,14079,14907,15313,16225,21107,34691,20705,6962,7391,7588,8007,10312,36990,21882,7117,7516,7725,8218,10795
   Canada,994254,1064305,1142641,1185156,1268057,1263552,1292329,364830,393811,427501,452582,482978,479163,499038,629424,670494,715140,732574,785079,784389,793291
   Greenland*,9504,11361,13388,14618,15391,16711,17866,3771,4552,5412,6038,6484,7154,7658,5733,6809,7976,8580,8907,9557,10208
   Saint Pierre and Miquelon*,483,477,484,426,390,400,433,238,246,260,219,189,222,242,245,231,224,207,201,178,191
   United States of America*,1726213,1827431,1979327,2296999,2670652,2717761,2996223,862106,913270,988316,1155376,1331560,1365833,1504237,864107,914161,991011,1141623,1339092,1351928,1491986
 OCEANIA ,961547,1071295,1246836,1391418,1591168,1751422,1970205,468974,519067,604446,680818,788805,863511,967645,492573,552228,642390,710600,802363,887911,1002560
  Australia and New Zealand,689030,758234,871660,984280,1149265,1256202,1404924,335351,366709,421127,481926,573939,622696,693842,353679,391525,450533,502354,575326,633506,711082
   Australia*,301013,341312,381836,428769,486949,518158,598765,139236,157264,175553,201054,236444,248125,287109,161777,184048,206283,227715,250505,270033,311656
   New Zealand*,388017,416922,489824,555511,662316,738044,806159,196115,209445,245574,280872,337495,374571,406733,191902,207477,244250,274639,324821,363473,399426
  Melanesia,104497,123300,150371,177020,204278,229769,256021,50814,59221,72454,85269,97733,109523,121526,53683,64079,77917,91751,106545,120246,134495
   Fiji,90161,106488,131908,157045,183607,208568,233856,43626,50855,63308,75347,87439,99311,110816,46535,55633,68600,81698,96168,109257,123040
   New Caledonia*,4148,4600,4941,5219,5377,5584,5839,1927,2134,2274,2486,2664,2725,2855,2221,2466,2667,2733,2713,2859,2984
   Papua New Guinea,3107,4059,4552,4493,4231,4980,4810,1570,2035,2279,2224,2090,2351,2353,1537,2024,2273,2269,2141,2629,2457
   Solomon Islands,2212,2542,2728,2999,3371,3886,4270,1134,1281,1346,1456,1645,1913,2072,1078,1261,1382,1543,1726,1973,2198
   Vanuatu,4869,5611,6242,7264,7692,6751,7246,2557,2916,3247,3756,3895,3223,3430,2312,2695,2995,3508,3797,3528,3816
  Micronesia,21460,29154,39034,39932,39030,41950,50998,10467,14456,19250,19834,19448,20869,25179,10993,14698,19784,20098,19582,21081,25819
   Guam*,1375,1614,2797,2535,2209,2132,2213,693,851,1387,1228,1002,981,1007,682,763,1410,1307,1207,1151,1206
   Kiribati,4053,4246,3991,4021,3565,4127,5103,1937,2033,1898,1940,1739,2017,2495,2116,2213,2093,2081,1826,2110,2608
   Marshall Islands,1426,4154,6976,6654,6492,7625,10886,707,2080,3489,3337,3214,3763,5315,719,2074,3487,3317,3278,3862,5571
   Micronesia (Fed. States of),7713,12138,16914,18346,19404,20633,24945,3935,6150,8518,9227,9711,10312,12361,3778,5988,8396,9119,9693,10321,12584
   Nauru,1419,1511,1593,1869,2130,2267,2454,627,698,769,933,1094,1128,1214,792,813,824,936,1036,1139,1240
   Northern Mariana Islands*,2517,2647,2765,2725,2611,2607,2741,1199,1274,1333,1346,1329,1339,1401,1318,1373,1432,1379,1282,1268,1340
   Palau,2957,2844,3998,3782,2619,2559,2656,1369,1370,1856,1823,1359,1329,1386,1588,1474,2142,1959,1260,1230,1270
  Polynesia*,146560,160607,185771,190186,198595,223501,258262,72342,78681,91615,93789,97685,110423,127098,74218,81926,94156,96397,100910,113078,131164
   American Samoa*,2041,2638,3186,2588,2157,1961,1832,1049,1365,1629,1327,1097,992,924,992,1273,1557,1261,1060,969,908
   Cook Islands*,17485,17009,19478,19580,20556,21555,21106,8377,8149,9491,9550,10065,10691,10453,9108,8860,9987,10030,10491,10864,10653
   French Polynesia*,3132,3738,4300,2717,1550,1978,2157,1583,1868,2125,1370,833,1082,1187,1549,1870,2175,1347,717,896,970
   Niue*,5858,5571,5749,5291,5347,5348,5186,2832,2648,2788,2588,2609,2620,2555,3026,2923,2961,2703,2738,2728,2631
   Samoa,74861,81952,94541,99230,104820,116855,135732,36602,39841,46571,48839,51453,57509,66671,38259,42111,47970,50391,53367,59346,69061
   Tokelau*,1684,1810,2061,2090,2168,2171,2112,836,900,1017,1037,1090,1096,1068,848,910,1044,1053,1078,1075,1044
   Tonga,32665,38208,46444,48337,51521,59203,74550,16196,18815,22879,23897,25430,29476,36751,16469,19393,23565,24440,26091,29727,37799
   Tuvalu,2350,2738,2611,2917,3011,3203,3670,1203,1380,1354,1482,1475,1593,1816,1147,1358,1257,1435,1536,1610,1854
   Wallis and Futuna Islands*,6484,6943,7401,7436,7465,11227,11917,3664,3715,3761,3699,3633,5364,5673,2820,3228,3640,3737,3832,5863,6244
OTHER,8640334,7477497,7063730,7820665,8757236,10918842,12657151,4408990,3776224,3593958,4096864,4601492,5685512,6533198,4231344,3701273,3469772,3723801,4155744,5233330,6123953
