"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
   Comoros,411.598,475.394,542.358,611.625,689.696,777.435,869.595,206.386,238.801,272.853,308.012,347.627,392.089,438.653,205.212,236.593,269.505,303.613,342.069,385.346,430.942
   Djibouti,590.393,630.385,717.577,783.248,840.194,913.998,988.002,296.959,317.169,360.759,393.626,447.092,483.117,518.993,293.434,313.216,356.818,389.622,393.102,430.881,469.009
   Eritrea,2258.649,2204.227,2292.413,2826.653,3170.437,3342.818,3546.427,1129.538,1096.984,1141.068,1410.329,1584.072,1674.33,1777.548,1129.111,1107.243,1151.345,1416.324,1586.365,1668.488,1768.879
   Ethiopia,47887.864,57047.906,66224.809,76346.31,87639.962,100835.453,114963.583,23880.379,28440.779,33019.427,38074.078,43727.479,50408.589,57516.835,24007.485,28607.127,33205.382,38272.232,43912.483,50426.864,57446.748
   Kenya,23724.574,27768.297,31964.557,36624.897,42030.684,47878.339,53771.3,11820.051,13810.589,15866.806,18172.026,20868.842,23782.609,26718.527,11904.523,13957.708,16097.751,18452.871,21161.842,24095.73,27052.773
   Madagascar,11598.647,13475.403,15766.806,18336.722,21151.64,24234.08,27691.019,5791.13,6715.768,7850.485,9130.493,10536.295,12081.791,13814.619,5807.517,6759.635,7916.321,9206.229,10615.345,12152.289,13876.4
   Malawi,9404.499,9844.418,11148.751,12625.95,14539.609,16745.305,19129.955,4662.382,4882.812,5503.577,6214.591,7154.19,8250.134,9434.037,4742.117,4961.606,5645.174,6411.359,7385.419,8495.171,9695.918
   Mauritius*,1055.869,1128.676,1185.147,1222.01,1247.953,1259.457,1271.767,526.543,562.649,587.693,605.62,618.578,623.795,627.48,529.326,566.027,597.454,616.39,629.375,635.662,644.287
   Mayotte*,94.779,123.186,150.331,178.103,208.716,240.011,272.813,48.453,62.551,76.06,87.776,102.033,117.875,134.159,46.326,60.635,74.271,90.327,106.683,122.136,138.654
   Mozambique,12987.292,15483.277,17711.925,20493.927,23531.567,27042.001,31255.435,6204.936,7381.268,8469.139,9848.006,11351.293,13092.038,15188.235,6782.356,8102.009,9242.786,10645.921,12180.274,13949.963,16067.2
   Réunion*,610.584,673.543,736.714,791.598,830.507,863.359,895.308,298.614,329.007,359.525,388.455,402.132,418.093,433.301,311.97,344.536,377.189,403.143,428.375,445.266,462.007
   Rwanda,7288.883,5836.49,7933.688,8840.22,10039.338,11369.066,12952.209,3595.187,2838.276,3875.949,4325.703,4920.879,5582.648,6367.431,3693.696,2998.214,4057.739,4514.517,5118.459,5786.418,6584.778
   Seychelles,70.572,76.653,80.998,88.652,91.273,94.981,98.34,35.206,38.382,40.358,44.299,47.092,48.877,50.439,35.366,38.271,40.64,44.353,44.181,46.104,47.901
   Somalia,7225.089,7491.647,8872.25,10446.856,12043.886,13797.204,15893.219,3630.396,3756.829,4442.937,5226.471,6016.043,6882.856,7924.087,3594.693,3734.818,4429.313,5220.385,6027.843,6914.348,7969.132
   South Sudan,5492.62,5118.084,6199.396,7535.931,9508.372,10715.657,11193.729,2729.95,2545.916,3087.859,3759.857,4752.499,5360.486,5603.014,2762.67,2572.168,3111.537,3776.074,4755.873,5355.171,5590.715
   Uganda,17354.395,20413.157,23650.159,27684.59,32428.164,38225.447,45741.0,8618.541,10085.062,11642.81,13639.036,15914.819,18775.708,22546.589,8735.854,10328.095,12007.349,14045.554,16513.345,19449.739,23194.411
   United Republic of Tanzania*,25203.848,29649.128,33499.177,38450.323,44346.532,51482.638,59734.213,12541.232,14751.853,16661.171,19138.137,22119.464,25696.138,29851.108,12662.616,14897.275,16838.006,19312.186,22227.068,25786.5,29883.105
   Zambia,8036.849,9096.608,10415.942,11856.244,13605.986,15879.37,18383.956,4005.703,4518.042,5164.034,5860.925,6718.512,7857.171,9103.006,4031.146,4578.566,5251.908,5995.319,6887.474,8022.199,9280.95
   Zimbabwe,10432.409,11410.721,11881.482,12076.697,12697.728,13814.642,14862.927,5190.943,5641.141,5814.303,5783.686,6049.024,6568.778,7092.01,5241.466,5769.58,6067.179,6293.011,6648.704,7245.864,7770.917
  Middle Africa,70855.116,83775.179,96115.549,112008.24,131622.131,154203.227,179595.125,35103.472,41557.736,47728.719,55692.57,65529.904,76880.543,89621.916,35751.644,42217.443,48386.83,56315.67,66092.227,77322.684,89973.209
   Angola,11848.385,13945.205,16395.477,19433.604,23356.247,27884.38,32866.268,5936.747,6960.467,8155.019,9639.47,11549.277,13791.244,16260.87,5911.638,6984.738,8240.458,9794.134,11806.97,14093.136,16605.398
   Cameroon,11780.086,13599.984,15513.944,17733.408,20341.236,23298.376,26545.864,5856.357,6768.384,7722.267,8837.179,10153.792,11640.88,13277.075,5923.729,6831.6,7791.677,8896.229,10187.444,11657.496,13268.789
   Central African Republic,2806.74,3222.662,3640.421,4038.38,4386.765,4493.171,4829.764,1382.256,1588.51,1795.023,1995.878,2171.641,2226.565,2394.042,1424.484,1634.152,1845.398,2042.502,2215.124,2266.606,2435.722
   Chad,5963.25,7010.159,8355.654,10096.63,11952.134,14110.971,16425.859,2957.698,3483.219,4158.93,5031.496,5961.893,7041.734,8200.17,3005.552,3526.94,4196.724,5065.134,5990.241,7069.237,8225.689
   Congo,2356.74,2707.532,3127.42,3622.775,4273.738,4856.093,5518.092,1158.799,1332.148,1543.329,1795.605,2126.41,2422.571,2756.678,1197.941,1375.384,1584.091,1827.17,2147.328,2433.522,2761.414
   Democratic Republic of the Congo,34612.023,41576.239,47105.83,54785.894,64563.853,76244.532,89561.404,17079.144,20573.715,23359.141,27221.813,32141.617,38019.96,44710.172,17532.879,21002.524,23746.689,27564.081,32422.236,38224.572,44851.232
   Equatorial Guinea,419.188,496.768,606.18,749.527,943.64,1168.575,1402.985,208.02,251.515,314.423,397.797,513.401,645.986,780.38,211.168,245.253,291.757,351.73,430.239,522.589,622.605
   Gabon,949.493,1084.951,1228.359,1390.55,1624.146,1947.69,2225.728,465.567,534.618,610.303,695.394,821.716,991.831,1132.854,483.926,550.333,618.056,695.156,802.43,955.859,1092.874
   Sao Tome and Principe,119.211,131.679,142.264,157.472,180.372,199.439,219.161,58.884,65.16,70.284,77.938,90.157,99.772,109.675,60.327,66.519,71.98,79.534,90.215,99.667,109.486
  Northern Africa,139744.833,156510.64,171322.846,186421.282,202940.273,223861.602,246232.508,70326.323,78797.71,86162.068,93702.616,101866.841,112443.617,123722.601,69418.51,77712.93,85160.778,92718.666,101073.432,111417.985,122509.907
   Algeria,25758.872,28757.788,31042.238,33149.72,35977.451,39728.02,43851.043,13036.365,14563.635,15731.099,16766.027,18161.36,20063.891,22153.808,12722.507,14194.153,15311.139,16383.693,17816.091,19664.129,21697.235
   Egypt,56134.478,62334.025,68831.561,75523.576,82761.244,92442.549,102334.403,28206.576,31388.895,34650.424,38097.625,41806.22,46717.678,51702.862,27927.902,30945.13,34181.137,37425.951,40955.024,45724.871,50631.541
   Libya,4436.663,4948.796,5357.893,5798.615,6197.667,6418.315,6871.287,2338.935,2591.816,2780.979,2989.68,3164.248,3248.49,3468.737,2097.728,2356.98,2576.914,2808.935,3033.419,3169.825,3402.55
   Morocco,24807.461,26994.255,28793.672,30455.563,32343.384,34663.608,36910.558,12375.888,13427.079,14268.731,15045.104,15946.819,17171.039,18316.887,12431.573,13567.176,14524.941,15410.459,16396.565,17492.569,18593.671
   Sudan,20147.592,24094.741,27275.019,30949.514,34545.014,38902.948,43849.269,10103.186,12084.536,13677.233,15515.205,17232.282,19424.627,21907.295,10044.406,12010.205,13597.786,15434.309,17312.732,19478.321,21941.974
   Tunisia,8242.509,9125.4,9708.347,10106.778,10635.245,11179.951,11818.618,4151.513,4608.865,4889.168,5058.303,5303.033,5541.626,5860.752,4090.996,4516.535,4819.179,5048.475,5332.212,5638.325,5957.866
   Western Sahara,217.258,255.635,314.116,437.516,480.268,526.211,597.33,113.86,132.884,164.434,230.672,252.879,276.266,312.26,103.398,122.751,149.682,206.844,227.389,249.945,285.07
  Southern Africa,42046.342,47358.234,51443.866,54644.678,58383.366,62985.035,67503.647,20758.169,23311.815,25292.504,26870.768,28737.467,31022.829,33213.98,21288.173,24046.419,26151.362,27773.91,29645.899,31962.206,34289.667
   Botswana,1286.756,1469.173,1643.333,1799.077,1987.106,2120.716,2351.625,615.288,706.299,795.433,874.87,971.864,1021.216,1139.099,671.468,762.874,847.9,924.207,1015.242,1099.5,1212.526
   Eswatini,822.423,926.836,1005.432,1030.575,1064.841,1104.038,1160.164,389.378,442.223,483.483,489.231,502.186,532.23,570.236,433.045,484.613,521.949,541.344,562.655,571.808,589.928
   Lesotho,1703.757,1898.598,2032.805,1996.115,1995.575,2059.011,2142.252,777.547,922.645,976.684,964.204,969.901,1011.929,1056.95,926.21,975.953,1056.121,1031.911,1025.674,1047.082,1085.302
   Namibia,1432.899,1627.866,1794.583,1938.316,2118.877,2314.901,2540.916,690.049,785.301,865.298,935.004,1024.015,1120.45,1231.683,742.85,842.565,929.285,1003.312,1094.862,1194.451,1309.233
   South Africa,36800.507,41435.761,44967.713,47880.595,51216.967,55386.369,59308.69,18285.907,20455.347,22171.606,23607.459,25269.501,27337.004,29216.012,18514.6,20980.414,22796.107,24273.136,25947.466,28049.365,30092.678
  Western Africa,180535.022,205691.815,234748.62,267894.672,307040.41,351717.644,401861.255,90312.178,102991.317,117611.016,134341.74,154152.62,176806.173,202279.908,90222.844,102700.498,117137.604,133552.932,152887.79,174911.471,199581.347
   Benin,4978.489,5905.552,6865.946,7982.223,9199.254,10575.962,12123.198,2423.54,2894.758,3382.858,3955.402,4568.834,5270.132,6054.248,2554.949,3010.794,3483.088,4026.821,4630.42,5305.83,6068.95
   Burkina Faso,8811.033,10089.88,11607.951,13421.935,15605.211,18110.616,20903.278,4305.69,4942.641,5701.662,6622.003,7737.619,9018.772,10444.713,4505.343,5147.239,5906.289,6799.932,7867.592,9091.844,10458.565
   Cabo Verde,337.953,386.288,428.178,463.034,492.644,524.74,555.988,160.191,185.501,206.009,225.288,246.066,263.07,279.117,177.762,200.787,222.169,237.746,246.578,261.67,276.871
   Côte d'Ivoire,11924.873,14199.759,16454.66,18354.513,20532.944,23226.148,26378.275,6208.226,7368.63,8478.764,9379.14,10426.514,11747.319,13300.38,5716.647,6831.129,7975.896,8975.373,10106.43,11478.829,13077.895
   Gambia,955.595,1128.577,1317.708,1543.745,1793.199,2085.86,2416.664,476.82,564.394,656.267,766.917,889.92,1034.7,1198.54,478.775,564.183,661.441,776.828,903.279,1051.16,1218.124
   Ghana,14773.274,17014.058,19278.85,21814.648,24779.614,27849.203,31072.945,7438.252,8580.702,9730.71,11019.196,12533.386,14104.836,15749.999,7335.022,8433.356,9548.14,10795.452,12246.228,13744.367,15322.946
   Guinea,6352.282,7269.631,8240.735,9109.585,10192.168,11432.096,13132.792,3048.946,3483.627,3933.799,4343.417,4858.465,5474.968,6353.234,3303.336,3786.004,4306.936,4766.168,5333.703,5957.128,6779.558
   Guinea-Bissau,975.265,1088.85,1201.305,1344.931,1522.603,1737.207,1967.998,471.254,526.686,580.846,648.96,738.048,845.894,962.695,504.011,562.164,620.459,695.971,784.555,891.313,1005.303
   Liberia,2075.917,2044.657,2848.447,3218.114,3891.357,4472.229,5057.677,1031.842,1016.729,1420.069,1608.994,1948.395,2243.64,2542.539,1044.075,1027.928,1428.378,1609.12,1942.962,2228.589,2515.138
   Mali,8449.915,9585.66,10946.448,12775.509,15049.352,17438.772,20250.834,4171.132,4740.47,5428.43,6358.115,7517.023,8720.125,10145.174,4278.783,4845.19,5518.018,6417.394,7532.329,8718.647,10105.66
   Mauritania,2034.347,2313.63,2630.217,3024.198,3494.2,4046.304,4649.66,1009.971,1146.437,1307.875,1508.076,1746.942,2027.548,2334.981,1024.376,1167.193,1322.342,1516.122,1747.258,2018.756,2314.679
   Niger,8026.592,9490.289,11331.561,13624.474,16464.025,20001.663,24206.636,3925.01,4672.061,5613.223,6783.454,8227.012,10029.627,12170.165,4101.582,4818.228,5718.338,6841.02,8237.013,9972.036,12036.471
   Nigeria,95212.454,107948.339,122283.853,138865.014,158503.203,181137.454,206139.587,47896.887,54345.196,61648.374,70120.845,80161.191,91720.564,104469.637,47315.567,53603.143,60635.479,68744.169,78342.012,89416.89,101669.95
   Saint Helena*,6.654,6.244,6.054,5.354,5.183,5.869,6.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   Senegal,7526.306,8690.155,9797.731,11090.123,12678.143,14578.45,16743.93,3746.116,4310.614,4813.466,5417.453,6172.314,7089.488,8170.785,3780.19,4379.541,4984.265,5672.67,6505.829,7488.962,8573.145
   Sierra Leone,4319.763,4303.953,4584.57,5645.629,6415.636,7171.909,7976.985,2133.215,2130.233,2273.784,2805.033,3192.605,3573.849,3981.239,2186.548,2173.72,2310.786,2840.596,3223.031,3598.06,3995.746
   Togo,3774.31,4226.293,4924.406,5611.643,6421.674,7323.162,8278.737,1861.74,2079.5,2431.837,2776.699,3185.633,3638.658,4119.404,1912.57,2146.793,2492.569,2834.944,3236.041,3684.504,4159.333
 ASIA,3226098.922,3493086.998,3741263.352,3977986.452,4209593.724,4433475.322,4641054.786,1648967.598,1785949.418,1912363.401,2035223.713,2155312.337,2268502.595,2373462.035,1577131.324,1707137.58,1828899.951,1942762.739,2054281.387,2164972.727,2267592.751
  Central Asia,50122.902,53169.133,55345.848,58449.898,62805.087,68479.994,74338.926,24616.879,26206.509,27263.752,28817.401,31017.758,33868.619,36812.175,25506.023,26962.624,28082.096,29632.497,31787.329,34611.375,37526.751
