Unnamed: 0,Country Code,Country,Year,Migrantes,Diff,Poblacion Total,Stock de Migrantes cambio anual (% de Poblacion Emisor),% Migrantes (%Poblacion)
496,BEL,Belgium,1990,"-363970,0","-2152,7999999999884","9967379,0","-0,021518346869594186","-3,6516119232548494"
497,BEL,Belgium,1991,"-366122,8","-2152,7999999999884","10004486,0","-0,021518346869594186","-3,6595863095815218"
498,BEL,Belgium,1992,"-368275,6","-2152,7999999999884","10045158,0","-0,021431220892692664","-3,6662001732576033"
499,BEL,Belgium,1993,"-370428,4","-2152,8000000000466","10084475,0","-0,02134766559488765","-3,6732541852699323"
500,BEL,Belgium,1994,"-372581,2","-2152,7999999999884","10115603,0","-0,021281973996013764","-3,683232724732278"
501,BEL,Belgium,1995,"-374734,0","-2152,7999999999884","10136811,0","-0,02123744834544107","-3,6967641993127818"
502,BEL,Belgium,1996,"-379560,0","-4826,0","10156637,0","-0,04751572789300238","-3,737063754469122"
503,BEL,Belgium,1997,"-384386,0","-4826,0","10181245,0","-0,047400882701477076","-3,7754321794633174"
504,BEL,Belgium,1998,"-389212,0","-4826,0","10203008,0","-0,04729977669330456","-3,8146789652620092"
505,BEL,Belgium,1999,"-394038,0","-4826,0","10226419,0","-0,04719149489180915","-3,8531376428053656"
506,BEL,Belgium,2000,"-398864,0","-4826,0","10251250,0","-0,047077185709059874","-3,890881599804902"
507,BEL,Belgium,2001,"-406631,4","-7767,400000000023","10286570,0","-0,07551010686749833","-3,953031963035298"
508,BEL,Belgium,2002,"-414398,8","-7767,399999999965","10332785,0","-0,07517237608253695","-4,0105237842459704"
509,BEL,Belgium,2003,"-422166,2","-7767,400000000023","10376133,0","-0,07485833113357378","-4,0686274934987825"
510,BEL,Belgium,2004,"-429933,6","-7767,399999999965","10421137,0","-0,07453505313287759","-4,125592053918877"
511,BEL,Belgium,2005,"-437701,0","-7767,400000000023","10478617,0","-0,07412619432507193","-4,177087491603138"
512,BEL,Belgium,2006,"-446967,2","-9266,200000000012","10547958,0","-0,08784828305156327","-4,237476106749762"
513,BEL,Belgium,2007,"-456233,4","-9266,200000000012","10625700,0","-0,08720554881090198","-4,293678534120105"
514,BEL,Belgium,2008,"-465499,6","-9266,199999999953","10709973,0","-0,08651935910576015","-4,34641245127322"
515,BEL,Belgium,2009,"-474765,8","-9266,200000000012","10796493,0","-0,08582601776336085","-4,397407565586343"
516,BEL,Belgium,2010,"-484032,0","-9266,200000000012","10895586,0","-0,08504544867986001","-4,442459542790998"
517,BEL,Belgium,2011,"-490384,2","-6352,200000000012","11038264,0","-0,05754709255006051","-4,44258444987364"
518,BEL,Belgium,2012,"-496736,4","-6352,200000000012","11106932,0","-0,05719131079581662","-4,472309725133818"
519,BEL,Belgium,2013,"-503088,6","-6352,199999999953","11159407,0","-0,056922379477690466","-4,508201914313189"
520,BEL,Belgium,2014,"-509440,8","-6352,200000000012","11209057,0","-0,05667024442823346","-4,5449032866903964"
521,BEL,Belgium,2015,"-515793,0","-6352,200000000012","11274196,0","-0,05634282036608209","-4,574986987985662"
522,BEL,Belgium,2016,"-528127,0","-12334,0","11331422,0","-0,10884776862074327","-4,660730136076478"
523,BEL,Belgium,2017,"-540461,0","-12334,0","11375158,0","-0,10842926313638897","-4,7512394992667355"
524,BEL,Belgium,2018,"-552795,0","-12334,0","11427054,0","-0,10793683131277755","-4,83759856214909"
525,BEL,Belgium,2019,"-565129,0","-12334,0","11488980,0","-0,10735504805474463","-4,918878786454498"
526,BEL,Belgium,2020,"-577463,0","-12334,0","11538604,0","-0,10689334689014372","-5,004617542988736"
1147,DNK,Denmark,1990,"-201514,0","-1238,6000000000058","5140939,0","-0,024030430526135776","-3,919789750471655"
1148,DNK,Denmark,1991,"-202752,6","-1238,6000000000058","5154298,0","-0,024030430526135776","-3,933660801141106"
