Year,"Region, development group, country or area",Both 0-4,Both 5-9,Both 10-14,Both  15-19,Both 20-24,Both 25-29,Both 30-34,Both 35-39,Both 40-44,Both 45-49,Both 50-54,Both 55-59,Both 60-64,Both 65-69,Both 70-74,Both 75+,Both Tot,Male 0-4,Male 5-9,Male 10-14,Male  15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75+,Male Total,Female 0-4,Female 5-9,Female 10-14,Female  15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75+,Female Total
2005,   Mauritania,6348,6172,5524,4658,4511,5391,6219,5812,4440,3042,2058,1458,1048,715,470,345,58211,3245,3132,2660,2293,2341,3015,3724,3639,2839,1957,1317,925,655,436,271,193,32642,3103,3040,2864,2365,2170,2376,2495,2173,1601,1085,741,533,393,279,199,152,25569
2010,   Mauritania,12560,10030,7886,7362,8243,8340,7600,6317,4814,3421,2417,1921,1290,981,753,985,84920,6725,5427,4316,4171,4854,5021,4601,3768,2915,2104,1505,1150,738,533,404,514,48746,5835,4603,3570,3191,3389,3319,2999,2549,1899,1317,912,771,552,448,349,471,36174
2015,   Mauritania,26874,20376,15351,14829,17308,16686,13916,10914,8306,6016,4343,3629,2368,1884,1523,2229,166552,14169,10854,8273,8284,10064,9926,8315,6432,4971,3658,2674,2146,1333,1008,802,1161,94070,12705,9522,7078,6545,7244,6760,5601,4482,3335,2358,1669,1483,1035,876,721,1068,72482
2020,   Mauritania,23846,21259,18091,16484,15270,18883,17376,13670,10689,8403,5877,4128,3138,1947,1380,1845,182286,12561,11322,9748,9190,8831,11176,10342,8030,6380,5094,3608,2439,1761,1038,723,960,103203,11285,9937,8343,7294,6439,7707,7034,5640,4309,3309,2269,1689,1377,909,657,885,79083
1990,   Niger,6792,9692,8938,10728,12784,13580,12337,10229,7909,6158,4676,3233,2724,2009,1638,2037,115464,3349,4617,4048,4372,4984,5670,5674,5079,4181,3424,2780,1985,1663,1191,1004,1201,55222,3443,5075,4890,6356,7800,7910,6663,5150,3728,2734,1896,1248,1061,818,634,836,60242
1995,   Niger,9185,12144,11536,14286,15398,16043,14568,13211,10695,7902,5973,4147,3651,2545,2101,2614,145999,4542,5810,5270,6060,6306,6850,6715,6669,5569,4092,3153,2313,2050,1606,1252,1494,69751,4643,6334,6266,8226,9092,9193,7853,6542,5126,3810,2820,1834,1601,939,849,1120,76248
2000,   Niger,16708,13012,11874,13231,12743,11428,10189,9656,7820,3250,4767,2653,2068,681,908,1272,122260,7917,6129,5118,5220,6455,5232,4788,5224,4523,1433,2187,1102,1381,436,485,562,58192,8791,6883,6756,8011,6288,6196,5401,4432,3297,1817,2580,1551,687,245,423,710,64068
2005,   Niger,16013,14234,11919,12024,12440,11577,10359,9502,8369,5301,3839,3553,2260,1315,761,1043,124509,7557,6679,5115,4719,6281,5280,4850,5126,4828,2326,1755,1469,1507,838,405,459,59194,8456,7555,6804,7305,6159,6297,5509,4376,3541,2975,2084,2084,753,477,356,584,65315
2010,   Niger,15013,12339,12925,15973,11374,12430,9241,7997,6823,5528,4870,3398,2739,2033,1608,2191,126482,7131,5827,5587,6320,5775,5706,4352,4334,3952,2442,2240,1415,1831,1300,861,969,60042,7882,6512,7338,9653,5599,6724,4889,3663,2871,3086,2630,1983,908,733,747,1222,66440
2015,   Niger,26480,24993,22213,22194,26328,26995,24363,19501,15863,13311,9716,7492,5101,3552,2264,2632,252998,12432,11664,9471,8645,13229,12239,11353,10476,9118,5802,4413,3074,3393,2257,1200,1149,119915,14048,13329,12742,13549,13099,14756,13010,9025,6745,7509,5303,4418,1708,1295,1064,1483,133083
2020,   Niger,25804,27518,29538,31588,32489,37608,37058,32358,25230,20747,16652,11636,7664,5061,3280,3825,348056,11539,12312,12414,12346,15892,16757,17015,16965,14071,9016,7511,4805,4930,3111,1691,1644,162019,14265,15206,17124,19242,16597,20851,20043,15393,11159,11731,9141,6831,2734,1950,1589,2181,186037
1990,   Nigeria,114528,54494,29407,30435,42925,54856,43694,29674,20220,12006,9822,4297,4170,1749,1854,2490,456621,59306,27229,15556,15053,21269,31503,27653,20385,13834,8569,6429,3000,2683,1099,1127,1471,256166,55222,27265,13851,15382,21656,23353,16041,9289,6386,3437,3393,1297,1487,650,727,1019,200455
1995,   Nigeria,109873,52279,40246,28704,35188,46903,47275,35187,23933,15458,10470,6772,4061,2839,1728,2083,462999,56892,26120,20521,14682,17421,25311,28370,23042,16414,10746,7195,4523,2725,1815,1068,1246,258091,52981,26159,19725,14022,17767,21592,18905,12145,7519,4712,3275,2249,1336,1024,660,837,204908
2000,   Nigeria,109826,52256,46242,34460,31932,41027,47072,41209,29547,19687,12958,8617,5414,3449,2282,1904,487882,56818,26084,23289,17579,16030,21338,26808,25682,19711,13569,8963,5854,3621,2269,1440,1156,270211,53008,26172,22953,16881,15902,19689,20264,15527,9836,6118,3995,2763,1793,1180,842,748,217671
2005,   Nigeria,207587,98767,93084,76266,62743,68949,83258,83421,66867,46528,30850,20389,13260,8375,5415,3955,969714,112842,51992,49395,40939,33196,37662,49375,53700,45817,32854,21855,14206,9107,5664,3524,2484,564612,94745,46775,43689,35327,29547,31287,33883,29721,21050,13674,8995,6183,4153,2711,1891,1471,405102
2010,   Nigeria,144647,108231,91173,81272,69499,80001,81419,84726,77632,61978,42408,26597,16496,10514,6339,7562,990494,77477,56080,47635,42968,36200,43065,47706,54013,52766,43446,29827,18391,11238,7051,4085,4700,576648,67170,52151,43538,38304,33299,36936,33713,30713,24866,18532,12581,8206,5258,3463,2254,2862,413846
2015,   Nigeria,143815,109209,90915,93953,103526,119298,117603,101461,84432,69860,57539,42396,28164,16858,10528,9558,1199115,71127,51931,43658,45755,49534,59344,64602,61427,54995,47122,38958,28156,18392,10813,6453,5620,657887,72688,57278,47257,48198,53992,59954,53001,40034,29437,22738,18581,14240,9772,6045,4075,3938,541228
2020,   Nigeria,133878,94092,81227,89613,114819,145894,145135,133839,102574,76072,62074,44328,35430,24380,13625,11588,1308568,64915,43865,38253,42877,53960,71361,78528,79917,65889,50534,41391,28964,22857,15443,8232,6692,713678,68963,50227,42974,46736,60859,74533,66607,53922,36685,25538,20683,15364,12573,8937,5393,4896,594890
1990,   Saint Helena*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
1995,   Saint Helena*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2000,   Saint Helena*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2005,   Saint Helena*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2010,   Saint Helena*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
2015,   Saint Helena*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
2020,   Saint Helena*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
1990,   Senegal,15101,17867,22735,28377,33049,32395,28242,21944,17651,14026,12000,9439,6343,3827,3222,4192,270410,7627,9707,12817,14143,15573,15430,13398,11141,9892,8043,6991,5719,3285,1870,1443,1761,138840,7474,8160,9918,14234,17476,16965,14844,10803,7759,5983,5009,3720,3058,1957,1779,2431,131570
1995,   Senegal,16628,19382,24145,29737,36371,36235,31456,24131,19450,14765,12255,9286,6014,3408,2444,1947,287654,8362,10490,13565,14754,17050,17173,14838,12198,10861,8439,7117,5610,3172,1648,1081,807,147165,8266,8892,10580,14983,19321,19062,16618,11933,8589,6326,5138,3676,2842,1760,1363,1140,140489
2000,   Senegal,13273,16611,21529,26769,31428,29673,24972,18473,14906,11256,9425,6924,3791,1727,799,345,231901,6836,9175,12325,13611,15140,14443,12100,9560,8483,6551,5570,4250,2087,852,362,147,121492,6437,7436,9204,13158,16288,15230,12872,8913,6423,4705,3855,2674,1704,875,437,198,110409
2005,   Senegal,13346,17103,21871,27708,32903,30994,26055,19252,15271,11522,9277,6770,3463,1552,685,526,238298,6735,8925,11678,13412,15835,15637,13416,10536,8847,6794,5546,4140,1960,815,334,244,124854,6611,8178,10193,14296,17068,15357,12639,8716,6424,4728,3731,2630,1503,737,351,282,113444
2010,   Senegal,13700,17853,22783,29338,35183,33631,28621,21466,16867,12839,10036,7058,3562,1616,698,841,256092,6846,8867,11407,13657,17120,17750,15760,12495,10021,7726,6115,4328,2088,908,368,423,135879,6854,8986,11376,15681,18063,15881,12861,8971,6846,5113,3921,2730,1474,708,330,418,120213
2015,   Senegal,14177,18390,23315,30554,37496,36004,30152,22441,17574,13382,10107,6944,3414,1466,565,515,266496,7181,9281,11784,14879,18164,18494,16391,12786,10420,8066,6173,4279,2069,855,312,268,141402,6996,9109,11531,15675,19332,17510,13761,9655,7154,5316,3934,2665,1345,611,253,247,125094
2020,   Senegal,14482,18601,23545,31548,39628,38150,31459,23236,18139,13813,10096,6785,3211,1310,457,469,274929,7391,9464,11987,15779,19447,19262,16743,12996,10590,8304,6161,4187,1976,786,264,254,145591,7091,9137,11558,15769,20181,18888,14716,10240,7549,5509,3935,2598,1235,524,193,215,129338
1990,   Sierra Leone,23733,30315,30922,24163,22258,19217,14759,12842,9384,7371,6084,4448,4972,3248,3886,4546,222148,13627,17544,18140,13919,12105,9641,7229,6267,4496,3568,3016,2535,3099,2171,2561,2980,122898,10106,12771,12782,10244,10153,9576,7530,6575,4888,3803,3068,1913,1873,1077,1325,1566,99250
1995,   Sierra Leone,6385,10621,14524,14838,11891,9290,6904,5411,3914,3020,2255,1905,1860,1506,1977,2215,98516,4191,7104,10025,10059,7499,5046,3128,1998,1196,742,556,595,787,755,1060,1196,55937,2194,3517,4499,4779,4392,4244,3776,3413,2718,2278,1699,1310,1073,751,917,1019,42579
2000,   Sierra Leone,6116,9806,13703,14556,12269,9762,7141,5740,4095,3181,2366,1879,1911,1502,1831,2116,97974,3884,6372,9281,9772,7725,5288,3216,2089,1231,743,523,523,748,722,954,1113,54184,2232,3434,4422,4784,4544,4474,3925,3651,2864,2438,1843,1356,1163,780,877,1003,43790
2005,   Sierra Leone,12448,18215,19256,18802,16744,14237,10470,9029,6416,5075,3970,2865,2283,2027,1992,2398,146227,6972,10426,11660,11340,9627,7254,4835,3797,2509,1837,1400,1044,940,921,971,1176,76709,5476,7789,7596,7462,7117,6983,5635,5232,3907,3238,2570,1821,1343,1106,1021,1222,69518
2010,   Sierra Leone,3697,7219,9146,12122,10469,8989,6300,5383,3708,2954,2204,1585,1417,1288,1242,1542,79265,2310,4566,6062,8082,6777,5100,3046,2131,1277,802,529,403,508,584,642,803,43622,1387,2653,3084,4040,3692,3889,3254,3252,2431,2152,1675,1182,909,704,600,739,35643
2015,   Sierra Leone,2694,4804,5856,9260,8032,7158,4728,4172,2765,2235,1649,1119,1141,1051,934,1232,58830,1738,3116,4018,6392,5492,4306,2394,1646,938,541,315,216,366,466,485,648,33077,956,1688,1838,2868,2540,2852,2334,2526,1827,1694,1334,903,775,585,449,584,25753
2020,   Sierra Leone,1980,2242,3381,4594,7630,7570,6729,4729,3946,3021,2288,1664,1139,954,765,1114,53746,1347,1533,2429,3318,5459,4849,3725,2146,1593,955,618,452,442,476,434,632,30408,633,709,952,1276,2171,2721,3004,2583,2353,2066,1670,1212,697,478,331,482,23338
1990,   Togo,11461,12414,12347,8986,7892,7661,6064,5028,3493,2870,2136,1175,1164,811,454,888,84844,5346,6045,6280,4496,3804,3726,3226,2831,2026,1631,1192,661,596,424,196,423,42903,6115,6369,6067,4490,4088,3935,2838,2197,1467,1239,944,514,568,387,258,465,41941
1995,   Togo,13159,13934,14207,11463,9457,8904,7523,6138,4535,3511,2704,1677,1346,1048,640,1337,101583,6164,6678,6971,5606,4553,4382,3908,3385,2555,1973,1504,900,707,534,299,608,50727,6995,7256,7236,5857,4904,4522,3615,2753,1980,1538,1200,777,639,514,341,729,50856
2000,   Togo,15932,16392,17230,15777,13866,12992,11414,9329,6975,5170,3944,2808,2181,1277,859,1822,137968,7528,7839,8358,7664,6743,6450,5934,5072,3891,2893,2172,1511,1140,659,417,841,69112,8404,8553,8872,8113,7123,6542,5480,4257,3084,2277,1772,1297,1041,618,442,981,68856
2005,   Togo,22762,23610,24950,23138,20655,19151,17122,14406,10907,8173,5984,4435,3250,2166,1346,2164,204219,10897,11378,12128,11313,10178,9653,8956,7828,6070,4565,3304,2395,1719,1133,679,1037,103233,11865,12232,12822,11825,10477,9498,8166,6578,4837,3608,2680,2040,1531,1033,667,1127,100986
2010,   Togo,28392,31113,33893,28418,25232,24048,21241,18243,13099,10147,6703,5148,3393,2564,1515,2415,255564,13301,15213,16836,13882,11866,11740,11334,10297,7618,5780,3749,2900,1739,1345,676,1148,129424,15091,15900,17057,14536,13366,12308,9907,7946,5481,4367,2954,2248,1654,1219,839,1267,126140
2015,   Togo,30436,33125,36302,31340,27389,25920,23155,19973,14695,11219,7567,5630,3784,2790,1734,2325,277384,14434,15911,17683,15069,13090,12779,12149,11106,8349,6353,4240,3047,2003,1435,831,1061,139540,16002,17214,18619,16271,14299,13141,11006,8867,6346,4866,3327,2583,1781,1355,903,1264,137844
2020,   Togo,28427,25252,27499,31135,29086,26891,25112,21964,18724,14067,10610,7230,5307,3543,2537,2552,279936,13458,12105,13368,14940,13882,13242,13162,12204,10630,7960,5940,3909,2807,1821,1214,1165,141807,14969,13147,14131,16195,15204,13649,11950,9760,8094,6107,4670,3321,2500,1722,1323,1387,138129
1990, ASIA,2096188,2398440,2636116,2950434,3771269,4756581,5009775,4630376,3974370,3215239,2617599,2221648,1967011,1641431,1431295,2892177,48209949,1040301,1203306,1339739,1523918,1994681,2663313,2872065,2644400,2250134,1794844,1419280,1146820,981517,781621,656011,1357902,25669852,1055887,1195134,1296377,1426516,1776588,2093268,2137710,1985976,1724236,1420395,1198319,1074828,985494,859810,775284,1534275,22540097
1995, ASIA,2043059,2223261,2316424,2573949,3528893,4583604,4891977,4570790,3889696,3221670,2509511,2076184,1835752,1586567,1367828,3198879,46418044,1022725,1121207,1173511,1325976,1861110,2550933,2798608,2640597,2245920,1826952,1385831,1083359,905682,734102,610405,1489005,24775923,1020334,1102054,1142913,1247973,1667783,2032671,2093369,1930193,1643776,1394718,1123680,992825,930070,852465,757423,1709874,21642121
2000, ASIA,2063445,2278061,2318746,2456798,3583318,4722614,5092491,5034944,4230804,3489333,2917141,2272194,1914221,1685408,1532823,3474645,49066986,1047186,1153518,1174186,1256674,1870761,2606259,2898631,2918391,2466207,2009613,1626961,1207810,953235,794099,694673,1616942,26295146,1016259,1124543,1144560,1200124,1712557,2116355,2193860,2116553,1764597,1479720,1290180,1064384,960986,891309,838150,1857703,22771840
2005, ASIA,2223733,2360454,2493780,2919300,4287740,5594634,5787844,5287387,4617769,3796836,3079086,2552099,1984233,1670944,1498533,3095415,53249787,1147932,1218455,1285194,1522474,2300165,3196267,3399917,3122101,2727895,2221395,1741833,1361687,998151,785668,661836,1392674,29083644,1075801,1141999,1208586,1396826,1987575,2398367,2387927,2165286,1889874,1575441,1337253,1190412,986082,885276,836697,1702741,24166143
2010, ASIA,2809808,2857371,2734702,3274669,5548366,7713627,8065056,7302244,5682682,4664175,3639977,2851658,2362464,1791430,1552061,3273350,66123640,1442095,1468149,1410131,1705140,3065829,4626472,5028738,4634118,3539431,2845954,2125388,1566155,1213359,858907,698838,1458602,37687306,1367713,1389222,1324571,1569529,2482537,3087155,3036318,2668126,2143251,1818221,1514589,1285503,1149105,932523,853223,1814748,28436334
2015, ASIA,3599291,3498529,3224705,3584418,6083118,9261068,9896556,8693906,6945240,5328027,4308892,3338325,2585083,2088514,1623987,3131590,77191249,1878217,1825424,1679593,1889076,3353629,5533610,6174243,5489713,4403315,3301809,2567053,1887485,1353801,1049010,768991,1395977,44550946,1721074,1673105,1545112,1695342,2729489,3727458,3722313,3204193,2541925,2026218,1741839,1450840,1231282,1039504,854996,1735613,32640303
2020, ASIA,3744421,4040512,3697201,4129329,6433462,9406706,10351088,9855563,8267378,6568716,5027898,4018538,3056558,2241500,1788382,2991250,85618502,1983627,2159990,1982302,2173215,3586748,5591817,6368177,6061435,5096840,4168490,3149563,2413338,1723057,1170799,852905,1314601,49796904,1760794,1880522,1714899,1956114,2846714,3814889,3982911,3794128,3170538,2400226,1878335,1605200,1333501,1070701,935477,1676649,35821598
1990,  Central Asia,172918,215584,276136,333964,354261,403171,490697,593127,636360,565959,506165,479041,474142,411586,325339,392233,6630683,82233,103445,131436,158643,167474,187065,222624,269629,298975,272555,238528,214081,213862,163363,112521,135910,2972344,90685,112139,144700,175321,186787,216106,268073,323498,337385,293404,267637,264960,260280,248223,212818,256323,3658339
1995,  Central Asia,122961,182653,230581,277409,312785,350808,411112,499762,546392,518016,472788,444274,454991,393739,307048,379476,5904795,59930,89814,112530,135175,151282,166973,191605,233027,262274,254654,227807,203505,196906,147494,102220,120403,2655599,63031,92839,118051,142234,161503,183835,219507,266735,284118,263362,244981,240769,258085,246245,204828,259073,3249196
2000,  Central Asia,86066,157977,184567,217551,269704,312889,338795,398792,441121,471061,452210,426013,408838,364892,296155,362451,5189082,41914,77772,90020,106080,130831,149249,158219,186381,212400,232725,218680,195627,177252,136703,98515,114765,2327133,44152,80205,94547,111471,138873,163640,180576,212411,228721,238336,233530,230386,231586,228189,197640,247686,2861949
2005,  Central Asia,86382,143225,179092,243383,373864,357676,333273,358467,398530,427823,438359,429364,400241,374497,335788,355913,5235877,42776,71980,89280,121727,188016,177071,160844,172720,197130,216731,217507,203506,178934,145520,112100,117349,2413191,43606,71245,89812,121656,185848,180605,172429,185747,201400,211092,220852,225858,221307,228977,223688,238564,2822686
2010,  Central Asia,74976,142086,168332,241009,403457,466359,379091,343164,359745,387234,410901,419355,396325,358337,333340,381227,5264938,37744,72197,85695,123361,208568,239048,188878,169952,182625,201153,208394,203923,182410,144034,114342,128220,2490544,37232,69889,82637,117648,194889,227311,190213,173212,177120,186081,202507,215432,213915,214303,218998,253007,2774394
2015,  Central Asia,63119,134679,169503,227350,404980,520166,494565,380176,349656,363546,392567,400304,390125,363590,329324,409142,5392792,32425,70561,88696,114267,197790,261280,249813,196404,181121,179733,192808,186180,177181,173283,138934,155859,2596335,30694,64118,80807,113083,207190,258886,244752,183772,168535,183813,199759,214124,212944,190307,190390,253283,2796457
2020,  Central Asia,68248,124310,160410,237469,416204,545345,559567,501089,387768,356896,366299,379203,365509,338076,307801,449848,5564042,35005,65020,83687,119086,203033,273347,281714,260261,201816,176325,179997,176353,165757,161450,130129,172468,2685448,33243,59290,76723,118383,213171,271998,277853,240828,185952,180571,186302,202850,199752,176626,177672,277380,2878594
1990,   Kazakhstan,95920,119471,155586,189103,200313,227077,277006,338925,367564,320761,292655,276723,258239,205824,117613,176420,3619200,43741,54208,70518,88017,95830,108340,128779,158234,181260,165751,146508,128878,125911,82198,35197,52794,1666164,52179,65263,85068,101086,104483,118737,148227,180691,186304,155010,146147,147845,132328,123626,82416,123626,1953036
1995,   Kazakhstan,72632,104779,129602,155712,176437,202477,234740,281935,307890,293396,274427,258500,258697,206189,117822,176733,3251968,34431,49325,60996,75135,87270,99880,113096,136412,156786,155954,141541,124588,116229,73089,29089,43634,1497455,38201,55454,68606,80577,89167,102597,121644,145523,151104,137442,132886,133912,142468,133100,88733,133099,1754513
2000,   Kazakhstan,50680,92689,106559,125774,156974,183041,197972,231325,255274,273812,263738,247341,234707,187068,106896,160344,2874194,23993,43674,50160,60688,77712,90388,95417,111939,130018,145717,136239,119415,105587,66440,26477,39716,1323580,26687,49015,56399,65086,79262,92653,102555,119386,125256,128095,127499,127926,129120,120628,80419,120628,1550614
2005,   Kazakhstan,56492,93163,113437,163398,269997,240522,207364,215083,234289,250387,259709,256812,228562,202285,157809,153718,3103027,27644,45389,55216,81404,137795,122459,103199,107442,122813,136799,137961,128011,106631,75795,42684,41578,1472820,28848,47774,58221,81994,132202,118063,104165,107641,111476,113588,121748,128801,121931,126490,115125,112140,1630207
2010,   Kazakhstan,49630,103366,113237,169184,313544,364427,263153,215872,218009,234367,246250,253444,236053,196195,168959,189247,3334937,24962,51771,56665,86545,164105,190304,134481,110712,117039,130876,133884,129715,113477,76778,48980,54861,1625155,24668,51595,56572,82639,149439,174123,128672,105160,100970,103491,112366,123729,122576,119417,119979,134386,1709782
2015,   Kazakhstan,41058,100127,121801,165916,321927,417847,382613,259826,217294,222514,239748,240579,231039,201820,163011,218940,3546060,21367,52395,63195,82350,156197,212021,196919,139867,119244,114082,122704,113983,108003,105049,70647,79805,1757828,19691,47732,58606,83566,165730,205826,185694,119959,98050,108432,117044,126596,123036,96771,92364,139135,1788232
2020,   Kazakhstan,43854,93869,118017,175990,326707,428675,430525,371633,256603,219412,226747,232690,217215,195436,166640,228060,3732073,22755,48975,61045,87054,157950,216797,220883,199477,140426,112131,115677,109833,101148,101409,71899,82638,1850097,21099,44894,56972,88936,168757,211878,209642,172156,116177,107281,111070,122857,116067,94027,94741,145422,1881976
1990,   Kyrgyzstan,21569,27073,30637,35574,38183,44865,53620,58349,56398,50240,44398,42412,39087,32317,24995,23366,623083,10545,13197,14841,16502,16750,18843,22258,24204,23187,20345,17601,16452,15067,12457,9635,8532,260416,11024,13876,15796,19072,21433,26022,31362,34145,33211,29895,26797,25960,24020,19860,15360,14834,362667
1995,   Kyrgyzstan,1736,17350,21849,25430,33510,31375,34612,44914,50067,49138,43954,40075,37581,32723,25171,28853,518338,862,8745,10822,12163,15029,13467,14790,19241,21208,20522,18033,16003,14916,12662,9119,9056,216638,874,8605,11027,13267,18481,17908,19822,25673,28859,28616,25921,24072,22665,20061,16052,19797,301700
2000,   Kyrgyzstan,5137,12868,16152,18279,21225,22781,24736,31986,34813,33649,28903,29440,27132,27032,28739,26952,389824,2581,6676,8147,8971,9690,9947,10825,14073,15113,14414,12198,12033,11024,10453,9714,7068,162927,2556,6192,8005,9308,11535,12834,13911,17913,19700,19235,16705,17407,16108,16579,19025,19884,226897
2005,   Kyrgyzstan,3613,5704,9682,13077,21098,18970,16003,18032,24624,27576,26316,24405,24679,21717,21340,32563,309399,1856,2966,4933,6654,10147,8543,6964,7798,10507,11743,11021,9944,9878,8279,7621,9210,128064,1757,2738,4749,6423,10951,10427,9039,10234,14117,15833,15295,14461,14801,13438,13719,23353,181335
2010,   Kyrgyzstan,3829,4302,6379,13013,17947,14758,13845,14614,16217,19821,21257,19545,14047,13815,11741,26935,232065,1966,2195,3209,6704,8850,6658,5807,6013,6580,8121,8542,7666,5338,4989,4240,7718,94596,1863,2107,3170,6309,9097,8100,8038,8601,9637,11700,12715,11879,8709,8826,7501,19217,137469
2015,   Kyrgyzstan,1484,4125,4214,6813,16531,21327,16309,13457,13254,13525,15709,17656,15904,11096,11661,21317,204382,759,2094,2110,3496,8114,9567,6795,5501,5342,5504,6269,6876,5999,3975,4177,6038,82616,725,2031,2104,3317,8417,11760,9514,7956,7912,8021,9440,10780,9905,7121,7484,15279,121766
2020,   Kyrgyzstan,1467,2246,4535,5176,10905,21072,24811,18282,14616,13034,11738,13926,15182,13371,9665,18985,199011,753,1145,2278,2664,5370,9487,10387,7507,5917,5328,4705,5449,5755,4814,3480,5417,80456,714,1101,2257,2512,5535,11585,14424,10775,8699,7706,7033,8477,9427,8557,6185,13568,118555
1990,   Tajikistan,9954,12400,16151,19633,20797,23572,28747,35169,38137,35005,30365,28712,31748,32508,33493,32509,428900,5125,6331,8239,9687,9859,10785,12878,15638,16921,15477,13283,12251,13006,12863,13011,12618,187972,4829,6069,7912,9946,10938,12787,15869,19531,21216,19528,17082,16461,18742,19645,20482,19891,240928
1995,   Tajikistan,7142,8896,11895,14545,16273,18825,22056,26446,29592,29681,27936,26113,26480,26386,28035,28046,348347,3674,4538,6057,7166,7711,8617,9883,11750,13110,13093,12181,11100,10818,10429,10887,10880,151894,3468,4358,5838,7379,8562,10208,12173,14696,16482,16588,15755,15013,15662,15957,17148,17166,196453
2000,   Tajikistan,4978,6201,8720,10781,13230,15792,17371,20129,23740,27062,28054,25893,23624,22913,24391,26620,299499,2586,3195,4477,5362,6348,7336,7901,9068,10651,12081,12369,11132,9782,9204,9644,10517,131653,2392,3006,4243,5419,6882,8456,9470,11061,13089,14981,15685,14761,13842,13709,14747,16103,167846
2005,   Tajikistan,3986,4965,7495,9286,11807,14231,16150,18871,21783,24936,26890,26692,25576,23726,21692,22380,280466,2052,2536,3809,4570,5607,6546,7270,8403,9652,10983,11685,11301,10430,9392,8454,8713,121403,1934,2429,3686,4716,6200,7685,8880,10468,12131,13953,15205,15391,15146,14334,13238,13667,159063
2010,   Tajikistan,3251,4049,6757,8395,11155,13600,15985,18849,21250,24443,27491,29253,29224,25116,20159,20831,279808,1685,2081,3451,4156,5338,6314,7264,8468,9489,10840,12022,12470,12017,10042,7943,8200,121780,1566,1968,3306,4239,5817,7286,8721,10381,11761,13603,15469,16783,17207,15074,12216,12631,158028
2015,   Tajikistan,2690,3657,5415,7592,9795,12404,14823,17453,20092,22895,26022,28432,29300,27228,22685,24618,275101,1369,1845,2743,3730,4654,5700,6634,7682,8764,9920,11151,11934,11917,10708,9402,10486,118639,1321,1812,2672,3862,5141,6704,8189,9771,11328,12975,14871,16498,17383,16520,13283,14132,156462
2020,   Tajikistan,3003,3979,5682,7762,9877,12501,14906,17508,20120,22899,25990,28383,29200,27113,22585,24523,276031,1515,1996,2870,3813,4692,5748,6678,7715,8788,9933,11148,11931,11873,10665,9362,10447,119174,1488,1983,2812,3949,5185,6753,8228,9793,11332,12966,14842,16452,17327,16448,13223,14076,156857
1990,   Turkmenistan,7113,8859,11537,14023,14854,16839,20541,25133,27257,25019,21702,20521,22691,23235,23939,23237,306500,3560,4636,5903,6931,7022,7654,9151,11151,12095,11062,9527,8804,9327,9166,9232,8953,134174,3553,4223,5634,7092,7832,9185,11390,13982,15162,13957,12175,11717,13364,14069,14707,14284,172326
1995,   Turkmenistan,6348,7907,10297,12516,13257,15029,18333,22432,24328,22330,19370,18315,20252,20738,21366,20747,273565,3440,4441,5674,6696,6830,7490,8984,10958,11884,10874,9375,8696,9282,9188,9293,9017,132122,2908,3466,4623,5820,6427,7539,9349,11474,12444,11456,9995,9619,10970,11550,12073,11730,141443
2000,   Turkmenistan,3405,6228,7160,8451,10548,12300,13303,15544,17154,18399,17723,16621,16626,17234,18346,20025,219067,1818,3440,3876,4437,5324,5998,6373,7421,8191,8758,8383,7706,7429,7433,7760,8463,102810,1587,2788,3284,4014,5224,6302,6930,8123,8963,9641,9340,8915,9197,9801,10586,11562,116257
